partId,title,optA,optB,optC,optD,correct
1,Đặc điểm nào sau đây mô tả đúng nhất về cấu trúc màng bao bọc nhân của tế bào nhân thực?,"Là lớp màng phospholipid đơn, trên màng có đính các ribosome.","Là lớp màng phospholipid kép, trên màng có các lỗ nhân.","Là lớp màng phospholipid kép, bao bọc kín hoàn toàn khối dịch nhân.","Là lớp màng phospholipid đơn, trên màng có các lỗ liên thông.",B
1,"Trong nhân tế bào, cấu trúc hạch nhân (nhân con) đảm nhiệm chức năng chủ yếu nào sau đây?",Tổng hợp phân tử DNA và điều khiển sự phân chia tế bào.,Tổng hợp các loại lipid màng để cung cấp cho tế bào.,Tổng hợp rRNA và lắp ráp các tiểu đơn vị của ribosome.,Tổng hợp và phân giải các chất độc hại xâm nhập vào nhân.,C
1,Chất nhiễm sắc (chromatin) được cấu tạo từ hai thành phần sinh học chủ yếu nào sau đây?,Phân tử RNA và các cấu trúc protein loại phi histone.,Phân tử carbohydrate và các cấu trúc protein màng.,Phân tử phospholipid và các hệ thống enzyme thủy phân.,Phân tử DNA và các cấu trúc protein loại histone.,D
2,Bào quan ribosome được cấu tạo từ hai thành phần sinh hóa chủ yếu nào sau đây?,Phân tử DNA và các protein loại histone.,Phân tử rRNA (RNA ribosome) và các protein.,Lớp màng phospholipid và hệ thống enzyme.,Phân tử mRNA (RNA thông tin) và các amino acid.,B
2,"Trong tế bào, bào quan ribosome đảm nhiệm chức năng sinh lí chủ yếu nào sau đây?",Chuyên tổng hợp các loại lipid và phân giải chất độc.,Chuyên phân giải các chất hữu cơ để cung cấp năng lượng.,Chuyên đóng gói và phân phối các sản phẩm tiết của tế bào.,Chuyên xúc tác và lắp ráp các amino acid để tổng hợp protein.,D
3,Đặc điểm cấu trúc nào sau đây là điểm chung của cả lưới nội chất hạt và lưới nội chất trơn trong tế bào nhân thực?,Đều có đính các hạt ribosome trên bề mặt màng.,Đều là hệ thống màng đơn gấp nếp tạo thành các xoang và ống.,Đều chứa hệ thống enzyme chuyên phân giải các chất độc hại.,Đều nằm lơ lửng biệt lập và không liên kết với màng nhân.,B
3,"Trong tế bào động vật, lưới nội chất hạt (rough ER) đảm nhiệm chức năng sinh lí chủ yếu nào sau đây?",Tổng hợp các loại lipid cấu tạo nên màng sinh chất.,Chuyển hóa năng lượng hóa học thành năng lượng ATP.,Tổng hợp các protein tiết ra ngoài tế bào và protein cấu tạo màng.,Phân giải các chất độc hại xâm nhập vào cơ thể sinh vật.,C
4,"Trong tế bào động vật, trung thể thường phân bố ở vị trí nào sau đây?","Nằm trong tế bào chất, ở vị trí gần nhân.",Nằm trôi nổi tự do bên trong dịch nhân.,Nằm đính trên hệ thống lưới nội chất hạt.,Nằm bám ở mặt trong của màng sinh chất.,A
4,Cấu tạo của một trung thể bao gồm,một túi màng chứa hệ enzyme thủy phân.,hai trung tử xếp thẳng góc với nhau.,hai trung tử xếp song song với nhau.,một hệ thống mạng lưới vi sợi đan chéo.,B
4,Chức năng chủ yếu của trung thể trong tế bào động vật là,tổng hợp các loại protein tiết.,cung cấp năng lượng cho tế bào.,tham gia hình thành thoi phân bào.,tiêu hóa các bào quan già cỗi.,C
5,Đặc điểm nào sau đây mô tả đúng nhất về cấu trúc màng bao bọc của ti thể?,"Lớp màng ngoài gấp nếp, lớp màng trong trơn nhẵn.","Cả hai lớp màng đều trơn nhẵn, bao bọc chất nền.","Lớp màng ngoài trơn nhẵn, lớp màng trong gấp nếp.",Cả hai lớp màng đều gấp nếp tạo thành các mào.,C
5,Bào quan ti thể đảm nhiệm chức năng sinh lí chủ yếu nào sau đây trong tế bào?,Tổng hợp chất hữu cơ từ năng lượng ánh sáng mặt trời.,Phân giải chất hữu cơ để tạo ra năng lượng dưới dạng ATP.,"Bao gói, sửa đổi và phân phối các protein tiết của tế bào.",Tiêu hóa nội bào các cấu trúc già cỗi và vật chất ngoại lai.,B
5,Việc màng trong của ti thể gấp nếp tạo thành các mào (cristae) mang lại ý nghĩa sinh lý chủ yếu nào sau đây?,Tăng diện tích bề mặt để chứa hệ thống các enzyme hô hấp.,Tạo ra không gian rộng rãi để lưu trữ phân tử DNA và ribosome.,Ngăn chặn sự xâm nhập của các virus vào bên trong chất nền ti thể.,Giúp ti thể dễ dàng thay đổi hình dạng và di chuyển trong tế bào.,A
