partId,title,optA,optB,optC,optD,correct
1,Thành tế bào bao quanh màng sinh chất có ở tế bào nào sau đây?,Tế bào động vật,Tế bào vi khuẩn,Tế bào thực vật và nấm,Tế bào nguyên sinh chất,C
1,Chức năng chính của thành tế bào là gì?,"Tổng hợp protein, dự trữ năng lượng và nước","Bảo vệ, cố định hình dạng và điều chỉnh lượng nước ra vào tế bào","Dự trữ năng lượng, tổng hợp protein và thực hiện hô hấp","Thực hiện quang hợp, dự trữ năng lượng và muối khoáng",B
1,Màng sinh chất được cấu tạo chủ yếu từ thành phần nào sau đây?,Phospholipid và lipid đơn,Lớp kép polysaccharide xen kẽ với protein,Lớp kép phospholipid xen kẽ với protein,Polysaccharide và lipid đơn,C
1,Chức năng nào sau đây là của màng sinh chất?,Bảo vệ tế bào và kiểm soát trao đổi chất với môi trường,Nâng đỡ và duy trì hình dạng tế bào,Dự trữ Ca2+ để co cơ,Phân giải glycogen điều hòa đường huyết,A
1,"Tế bào chất là phần nằm giữa ________ và ________, chứa nhiều bào quan và tham gia vào các hoạt động sống của tế bào.",màng sinh chất; nhân,thành tế bào; màng sinh chất,nhân; lưới nội chất,ty thể; màng sinh chất,A
2,Thành phần nào sau đây KHÔNG có trong bào tương?,DNA và RNA,Enzyme,Carbohydrate,Chất vô cơ,A
2,Sắc tố chính trong lục lạp giúp hấp thụ ánh sáng là,xanthophyll,anthocyanin,carotenoid,chlorophyll,D
2,"Trong lục lạp, các túi dẹt (thylakoid) xếp chồng lên nhau tạo thành cấu trúc nào sau đây?",Stroma,Ribosome,Màng kép,Grana,D
2,Ti thể có đặc điểm cấu tạo nào sau đây?,"Có màng đơn, dài khoảng 0,5 – 10 µm","Có màng kép, dài khoảng 0,5 – 10 µm","Không có màng, dài khoảng 1 – 2 µm",Chỉ có một lớp màng ngoài,B
2,Cấu trúc màng bao bọc của ti thể có đặc điểm nào sau đây?,"Lớp màng ngoài gấp nếp, lớp màng trong trơn nhẵn","Cả hai lớp màng đều trơn nhẵn, bao bọc chất nền","Lớp màng ngoài trơn nhẵn, lớp màng trong gấp nếp",Cả hai lớp màng đều gấp nếp tạo thành các mào,C
3,Peroxisome có đặc điểm cấu tạo nào sau đây?,"Có màng kép, dạng hình cầu","Chỉ có ở tế bào động vật, dạng hình cầu","Không có màng bao bọc, dạng hình cầu","Có màng đơn mỏng, dạng hình cầu",D
3,Chức năng nào sau đây KHÔNG phải của không bào?,Điều hoà áp suất thẩm thấu,Tổng hợp protein và lipid,Chứa chất thải hoặc sắc tố,Dự trữ muối khoáng và đường,B
3,Điểm khác biệt cơ bản giữa lưới nội chất trơn và lưới nội chất hạt là lưới nội chất trơn,có nhiều ribosome bám trên màng,không tham gia tổng hợp lipid,không liên kết với lưới nội chất hạt,không có hoặc có rất ít ribosome bám trên màng,D
3,Lưới nội chất hạt có đặc điểm nổi bật nào sau đây?,"Không có ribosome, tham gia tổng hợp protein","Có ribosome bám trên màng, tham gia tổng hợp protein",Tổng hợp lipid và tổng hợp protein,Có ribosome bám trên màng và dự trữ Ca2+,B
3,Ribosome có đặc điểm cấu tạo nào sau đây?,"Có màng bao bọc, dạng hình cầu","Không có màng bao bọc, dạng hình cầu","Có màng bao bọc, dạng hình tròn","Không có màng bao bọc, dạng hình dẹt",B
4,Phần lớn nhân tế bào có hình dạng và kích thước nào sau đây?,"Hình cầu, đường kính khoảng 5 µm","Hình trụ, đường kính khoảng 10 µm","Hình dẹt, đường kính khoảng 2 µm","Hình bầu dục, đường kính khoảng 1 µm",A
4,Chức năng chính của nhân tế bào là,tổng hợp lipid và một số enzyme.,dự trữ năng lượng và điều hòa trao đổi chất.,trung tâm điều khiển các hoạt động sống của tế bào.,"vận chuyển chất dinh dưỡng, ion qua màng nhân.",C
4,Chức năng chính của bộ máy Golgi là,"quang hợp, tổng hợp đường và vận chuyển sản phẩm từ lưới nội chất","tổng hợp, phân loại và sửa đổi DNA và RNA","sửa đổi, phân loại, đóng gói và vận chuyển sản phẩm từ lưới nội chất",dự trữ tinh bột và vận chuyển sản phẩm từ lưới nội chất,C
4,Vai trò nào sau đây KHÔNG thuộc về khung xương tế bào?,Nâng đỡ và duy trì hình dạng tế bào,Neo giữ các bào quan và enzyme,Hình thành trung thể tham gia phân bào,Tổng hợp các chất dinh dưỡng  ,D
4,"Trong quá trình phân bào, khung xương tế bào có vai trò đặc biệt nào sau đây?",Tổng hợp lipid và enzyme,Hình thành trung thể và thoi vô sắc,Vận chuyển mRNA và ribosome,Dự trữ Ca2+ và các chất dinh dưỡng,B
