partId,title,optA,optB,optC,optD,correct
1,Thành tế bào bao quanh màng sinh chất có ở tế bào nào sau đây?,Tế bào động vật,Tế bào vi khuẩn,Tế bào thực vật và nấm,Tế bào nguyên sinh chất,C
1,Thành tế bào thực vật được cấu tạo chủ yếu từ chất nào sau đây?,Chitin,Cellulose,Protein,Phospholipid,B
1,Chức năng chính của thành tế bào là gì?,"Bảo vệ, dự trữ năng lượng và điều chỉnh lượng nước ra vào tế bào","Bảo vệ, cố định hình dạng và điều chỉnh lượng nước ra vào tế bào","Dự trữ năng lượng, tổng hợp protein và thực hiện hô hấp","Thực hiện quang hợp, dự trữ năng lượng và muối khoáng",B
2,Màng sinh chất được cấu tạo chủ yếu từ thành phần nào sau đây?,Lớp polysaccharide xen kẽ với protein,Lớp đơn phospholipid xen kẽ với protein,Lớp kép phospholipid xen kẽ với protein,Lớp polysaccharide với lipid ,C
2,Đuôi kị nước của phân tử phospholipid trong màng sinh chất có đặc điểm nào sau đây?,"Quay ra ngoài tiếp xúc với môi trường nước, giúp ổn định cấu trúc màng","Quay vào nhau ở phía giữa hai lớp, giúp ổn định cấu trúc màng","Liên kết trực tiếp với protein xuyên màng, giúp định hình cấu trúc màng","Tạo thành cầu nối với ribosome, giúp định hình cấu trúc màng",B
2,Chức năng nào sau đây là của màng sinh chất?,Bảo vệ tế bào và kiểm soát trao đổi chất với môi trường,Phân giải chất độc và kiểm soát trao đổi chất với môi trường,Bảo vệ và duy trì hình dạng của tế bào,Phân giải glycogen và điều hòa đường huyết,A
3,"Tế bào chất là phần nằm giữa __ và __, chứa nhiều bào quan và tham gia vào các hoạt động sống của tế bào.",màng sinh chất; nhân,thành tế bào; màng sinh chất,nhân; lưới nội chất,ty thể; màng sinh chất,A
3,Thành phần nào sau đây KHÔNG có trong bào tương?,DNA và RNA,Enzyme,Carbohydrate,Chất vô cơ,A
3,Chất nguyên sinh có chức năng chính nào sau đây?,Dự trữ các chất dinh dưỡng,Nơi diễn ra hầu hết các hoạt động sống của tế bào,Phân giải glycogen điều hòa đường huyết,Vận chuyển electron trong quang hợp,B
4,"Trong lục lạp, các túi dẹt (thylakoid) xếp chồng lên nhau tạo thành cấu trúc nào sau đây?",Stroma,Ribosome,Màng kép,Grana,D
4,Sắc tố chính trong lục lạp giúp hấp thụ ánh sáng là,xanthophyll,anthocyanin,carotenoid,chlorophyll,D
4,"Lục lạp là bào quan đặc trưng của tế bào thực vật, có chức năng chính là __ nhờ vào chất diệp lục nằm trong __.",hô hấp; màng ngoài,quang hợp; tilacoit,vận chuyển; ribosome,quang hợp; chất nền,B
4,Chức năng chính của lục lạp là,quang hợp,tổng hợp protein,dự trữ lipid,hô hấp tế bào,A
5,Ti thể có đặc điểm cấu tạo nào sau đây?,"Có màng đơn, dài khoảng 0,5 – 10 µm","Có màng kép, dài khoảng 0,5 – 10 µm","Không có màng, dài khoảng 1 – 2 µm",Chỉ có một lớp màng ngoài,B
5,Cấu trúc màng bao bọc của ti thể có đặc điểm nào sau đây?,"Lớp màng ngoài gấp nếp, lớp màng trong trơn nhẵn","Cả hai lớp màng đều trơn nhẵn, bao bọc chất nền","Lớp màng ngoài trơn nhẵn, lớp màng trong gấp nếp",Cả hai lớp màng đều gấp nếp tạo thành các mào,C
5,"Ti thể là bào quan có vai trò quan trọng trong quá trình __, cung cấp năng lượng cho tế bào, quá trình này diễn ra chủ yếu tại __ của nó.",quang hợp; màng ngoài,hô hấp tế bào; màng trong,vận chuyển; ribosome,tổng hợp DNA; chất nền,B
5,Trong chất nền của ti thể có những thành phần nào sau đây?,"Lipid, ribosome và RNA","DNA dạng vòng, ribosome và enzyme hô hấp","RNA, protein và nước","Protein, ribosome và RNA",B
6,Peroxisome có đặc điểm cấu tạo nào sau đây?,"Có màng kép, dạng hình cầu","Có màng đơn mỏng, dạng hình cầu","Không có màng bao bọc, dạng hình cầu","Chỉ có ở tế bào động vật, dạng hình cầu",B
6,Enzyme trong peroxisome có vai trò nào sau đây?,"Chuyển hydrogen từ các chất độc, alcohol đến oxygen tạo H2O2","Tổng hợp protein, enzyme và dự trữ năng lượng","Tổng hợp protein, hô hấp và quang hợp",Dự trữ ion Ca²⁺ trong tế bào cơ và phân giải chất thải trong tế bào,A
6,Chức năng chính của peroxisome là,quang hợp và tổng hợp đường,phân giải H2O2 và chuyển hoá lipid,tổng hợp protein và enzyme,dự trữ muối khoáng và nước,B
